experiment_id,coefficient_c,transform_t,transform_condition_number,sonc_status_base,gp_status_base,sonc_status_local_tol,sonc_status_global_tol,sonc_status_local_1e-10,sonc_status_global_1e-10,final_class,runtime_seconds
Rhat-local-c1p9925-t0p9,1.9925,0.9,3.7188281492799966,fail,fail,fail,fail,fail,fail,robust_fail,3.651128908008104
Rhat-local-c1p9925-t0p94,1.9925,0.94,3.7276699474272696,fail,fail,fail,fail,fail,fail,robust_fail,3.6344267329841387
Rhat-local-c1p9925-t0p97,1.9925,0.97,3.7310207592887767,fail,fail,fail,fail,fail,fail,robust_fail,3.638568151014624
Rhat-local-c1p9925-t1,1.9925,1.0,3.732050807568877,fail,fail,fail,fail,fail,fail,robust_fail,1.1425184359832201
Rhat-local-c1p9925-t1p03,1.9925,1.03,3.7311372224115837,fail,fail,fail,fail,fail,fail,robust_fail,3.6963255729933735
Rhat-local-c1p9925-t1p06,1.9925,1.06,3.728604265633173,fail,fail,fail,fail,fail,fail,robust_fail,3.6447698209958617
Rhat-local-c1p9925-t1p1,1.9925,1.1,3.723182093100642,fail,fail,fail,fail,fail,fail,robust_fail,3.6391082420013845
Rhat-local-c1p995-t0p9,1.995,0.9,3.7188281492799966,fail,fail,fail,fail,fail,fail,robust_fail,3.7135952490207274
Rhat-local-c1p995-t0p94,1.995,0.94,3.7276699474272696,fail,fail,fail,fail,fail,fail,robust_fail,3.639041788992472
Rhat-local-c1p995-t0p97,1.995,0.97,3.7310207592887767,fail,fail,fail,fail,fail,fail,robust_fail,3.6317221260105725
Rhat-local-c1p995-t1,1.995,1.0,3.732050807568877,fail,fail,fail,fail,fail,fail,robust_fail,1.1509180769789964
Rhat-local-c1p995-t1p03,1.995,1.03,3.7311372224115837,fail,fail,fail,fail,fail,fail,robust_fail,3.726749214984011
Rhat-local-c1p995-t1p06,1.995,1.06,3.728604265633173,fail,fail,fail,fail,fail,fail,robust_fail,3.5583694559754804
Rhat-local-c1p995-t1p1,1.995,1.1,3.723182093100642,fail,fail,fail,fail,fail,fail,robust_fail,3.499194249016
Rhat-local-c1p9975-t0p9,1.9975,0.9,3.7188281492799966,fail,fail,fail,fail,fail,fail,robust_fail,3.656146727007581
Rhat-local-c1p9975-t0p94,1.9975,0.94,3.7276699474272696,fail,fail,fail,fail,fail,fail,robust_fail,3.726635928003816
Rhat-local-c1p9975-t0p97,1.9975,0.97,3.7310207592887767,fail,fail,fail,fail,fail,fail,robust_fail,3.6368578409892507
Rhat-local-c1p9975-t1,1.9975,1.0,3.732050807568877,fail,fail,fail,fail,fail,fail,robust_fail,1.1512903770199046
Rhat-local-c1p9975-t1p03,1.9975,1.03,3.7311372224115837,fail,fail,fail,fail,fail,fail,robust_fail,3.6263511370052584
Rhat-local-c1p9975-t1p06,1.9975,1.06,3.728604265633173,fail,fail,fail,fail,fail,fail,robust_fail,3.7251553279929794
Rhat-local-c1p9975-t1p1,1.9975,1.1,3.723182093100642,fail,fail,fail,fail,fail,fail,robust_fail,3.6282065240084194
Rhat-local-c2-t0p9,2.0,0.9,3.7188281492799966,fail,fail,fail,fail,fail,fail,robust_fail,3.629080802988028
Rhat-local-c2-t0p94,2.0,0.94,3.7276699474272696,fail,fail,fail,fail,fail,fail,robust_fail,3.7339525319985114
Rhat-local-c2-t0p97,2.0,0.97,3.7310207592887767,fail,fail,fail,fail,fail,fail,robust_fail,3.6454246079956647
Rhat-local-c2-t1,2.0,1.0,3.732050807568877,success,fail,success,success,success,success,robust_success,0.048352757992688566
Rhat-local-c2-t1p03,2.0,1.03,3.7311372224115837,fail,fail,fail,fail,fail,fail,robust_fail,3.6641481860133354
Rhat-local-c2-t1p06,2.0,1.06,3.728604265633173,fail,fail,fail,fail,fail,fail,robust_fail,3.650619737978559
Rhat-local-c2-t1p1,2.0,1.1,3.723182093100642,fail,fail,fail,fail,fail,fail,robust_fail,3.730348821991356
Rhat-local-c2p0025-t0p9,2.0025,0.9,3.7188281492799966,fail,fail,fail,fail,fail,fail,robust_fail,3.6060097130248323
Rhat-local-c2p0025-t0p94,2.0025,0.94,3.7276699474272696,fail,fail,fail,fail,fail,fail,robust_fail,3.5043868320062757
Rhat-local-c2p0025-t0p97,2.0025,0.97,3.7310207592887767,fail,fail,fail,fail,fail,fail,robust_fail,3.631234100990696
Rhat-local-c2p0025-t1,2.0025,1.0,3.732050807568877,fail,fail,fail,fail,fail,fail,robust_fail,0.4332256130001042
Rhat-local-c2p0025-t1p03,2.0025,1.03,3.7311372224115837,fail,fail,fail,fail,fail,fail,robust_fail,3.5063209729851224
Rhat-local-c2p0025-t1p06,2.0025,1.06,3.728604265633173,fail,fail,fail,fail,fail,fail,robust_fail,3.5216045739944093
Rhat-local-c2p0025-t1p1,2.0025,1.1,3.723182093100642,fail,fail,fail,fail,fail,fail,robust_fail,3.5209737250115722
Rhat-local-c2p005-t0p9,2.005,0.9,3.7188281492799966,fail,fail,fail,fail,fail,fail,robust_fail,3.599671431002207
Rhat-local-c2p005-t0p94,2.005,0.94,3.7276699474272696,fail,fail,fail,fail,fail,fail,robust_fail,3.5098706780117936
Rhat-local-c2p005-t0p97,2.005,0.97,3.7310207592887767,fail,fail,fail,fail,fail,fail,robust_fail,3.5118399919883814
Rhat-local-c2p005-t1,2.005,1.0,3.732050807568877,fail,fail,fail,fail,fail,fail,robust_fail,0.4342650830221828
Rhat-local-c2p005-t1p03,2.005,1.03,3.7311372224115837,fail,fail,fail,fail,fail,fail,robust_fail,3.611367866018554
Rhat-local-c2p005-t1p06,2.005,1.06,3.728604265633173,fail,fail,fail,fail,fail,fail,robust_fail,3.53386119499919
Rhat-local-c2p005-t1p1,2.005,1.1,3.723182093100642,fail,fail,fail,fail,fail,fail,robust_fail,3.546710441005416
Rhat-local-c2p0075-t0p9,2.0075,0.9,3.7188281492799966,fail,fail,fail,fail,fail,fail,robust_fail,3.539485833985964
Rhat-local-c2p0075-t0p94,2.0075,0.94,3.7276699474272696,fail,fail,fail,fail,fail,fail,robust_fail,3.6630269149900414
Rhat-local-c2p0075-t0p97,2.0075,0.97,3.7310207592887767,fail,fail,fail,fail,fail,fail,robust_fail,3.5195975830138195
