experiment_id,coefficient_c,transform_t,transform_condition_number,sonc_status_base,gp_status_base,sonc_status_local_tol,sonc_status_global_tol,sonc_status_local_1e-10,sonc_status_global_1e-10,final_class,runtime_seconds
Rhat-local-c1p5-t1,1.5,1.0,3.732050807568877,fail,fail,fail,fail,fail,fail,robust_fail,1.0813331399986055
Rhat-local-c1p6-t1,1.6,1.0,3.732050807568877,fail,fail,fail,fail,fail,fail,robust_fail,1.079830195987597
Rhat-local-c1p7-t1,1.7,1.0,3.732050807568877,fail,fail,fail,fail,fail,fail,robust_fail,1.0822706750186626
Rhat-local-c1p8-t1,1.8,1.0,3.732050807568877,fail,fail,fail,fail,fail,fail,robust_fail,1.0867456749838311
Rhat-local-c1p85-t1,1.85,1.0,3.732050807568877,fail,fail,fail,fail,fail,fail,robust_fail,1.0920622569974512
Rhat-local-c1p9-t1,1.9,1.0,3.732050807568877,fail,fail,fail,fail,fail,fail,robust_fail,1.0873758759989869
Rhat-local-c1p95-t1,1.95,1.0,3.732050807568877,fail,fail,fail,fail,fail,fail,robust_fail,1.0882221710053273
Rhat-local-c1p98-t1,1.98,1.0,3.732050807568877,fail,fail,fail,fail,fail,fail,robust_fail,1.099250191997271
Rhat-local-c1p99-t1,1.99,1.0,3.732050807568877,fail,fail,fail,fail,fail,fail,robust_fail,1.0967541270074435
Rhat-local-c1p995-t1,1.995,1.0,3.732050807568877,fail,fail,fail,fail,fail,fail,robust_fail,1.0961744290252682
Rhat-local-c2-t1,2.0,1.0,3.732050807568877,success,fail,success,success,success,success,robust_success,0.05126702997949906
Rhat-local-c2p005-t1,2.005,1.0,3.732050807568877,fail,fail,fail,fail,fail,fail,robust_fail,0.4247671320044901
Rhat-local-c2p01-t1,2.01,1.0,3.732050807568877,fail,fail,fail,fail,fail,fail,robust_fail,0.42560604799655266
Rhat-local-c2p02-t1,2.02,1.0,3.732050807568877,fail,fail,fail,fail,fail,fail,robust_fail,0.4284237679967191
Rhat-local-c2p05-t1,2.05,1.0,3.732050807568877,fail,fail,fail,fail,fail,fail,robust_fail,0.4280308189918287
Rhat-local-c2p1-t1,2.1,1.0,3.732050807568877,fail,fail,fail,fail,fail,fail,robust_fail,0.4263483269896824
Rhat-local-c2p2-t1,2.2,1.0,3.732050807568877,fail,fail,fail,fail,fail,fail,robust_fail,0.42558854099479504
Rhat-local-c2p5-t1,2.5,1.0,3.732050807568877,fail,fail,fail,fail,fail,fail,robust_fail,0.42679652900551446
